City,Latitude,Longitude
South Shields,54.987778,-1.421389
Morden,51.398217,-0.19837
Lochgilphead,56.033333,-5.416667
Worcester,52.2,-2.2
Matlock,53.133333,-1.533333
Shrewsbury,52.716667,-2.733333
Truro,50.261667,-5.043333
Hereford,52.05,-2.716667
Newport,51.583333,-2.983333
Oakham,52.666667,-0.733333
Milton Keynes,52.033333,-0.7
Dagenham,51.55,0.166667
Conwy,53.283333,-3.833333
Dalkeith,55.866667,-3.066667
Enniskillen,54.3466,-7.64114
Hamilton,55.766667,-4.033333
Hendon,51.6,-0.216667
Hammersmith,51.5,-0.233333
Bromley,51.4,0.05
Telford,52.633333,-2.5
Harrow,51.583333,-0.316667
Ealing,51.488802,-0.30479
Slough,51.5,-0.583333
Wolverhampton,52.583333,-2.133333
Dumbarton,55.95,-4.566667
Bangor,54.66166,-5.66545
Wallsend,54.991389,-1.559722
Strabane,54.8224,-7.46844
City of Westminster,51.5,-0.116667
Lincoln,53.233333,-0.533333
Newport,50.7,-1.3
Lisburn,54.50991,-6.0404
Aylesbury,51.816667,-0.8
Wallasey,53.433333,-3.066667
Grimsby,53.533333,-0.05
Kilmarnock,55.633333,-4.533333
